"","auth_ID","file_ID","timestamp"
"1",1,"doi:10.7281/T1/IRMGH8/37",2024-02-28 12:19:18
"2",2,"doi:10.7281/T1/D3EV75/9VG86B",2022-05-24 12:27:31
"3",2,"doi:10.7281/T1/D3EV75/QDBCNP",2022-05-24 12:27:31
"4",2,"doi:10.7281/T1/5UEIRG/TSPBJQ",2022-05-24 12:26:25
"5",2,"doi:10.7281/T1/5UEIRG/IXV2I9",2022-05-24 12:26:25
"6",2,"doi:10.7281/T1/8VU7A2/971",2023-05-09 12:24:18
"7",2,"doi:10.7281/T1/8VU7A2/972",2023-05-09 12:24:18
"8",2,"doi:10.7281/T1/8VU7A2/973",2023-05-09 12:24:18
"9",2,"doi:10.7281/T1/8VU7A2/974",2023-05-09 12:24:18
"10",2,"doi:10.7281/T1/8VU7A2/975",2023-05-09 12:24:18
"11",2,"doi:10.7281/T1/8VU7A2/976",2023-05-09 12:24:18
"12",2,"doi:10.7281/T1/8VU7A2/977",2023-05-09 12:24:18
"13",2,"doi:10.7281/T1/8VU7A2/978",2023-05-09 12:24:18
"14",2,"doi:10.7281/T1/8VU7A2/979",2023-05-09 12:24:18
"15",2,"doi:10.7281/T1/8VU7A2/980",2023-05-09 12:24:18
"16",2,"doi:10.7281/T1/8VU7A2/981",2023-05-09 12:24:18
"17",2,"doi:10.7281/T1/8VU7A2/982",2023-05-09 12:24:18
"18",2,"doi:10.7281/T1/8VU7A2/983",2023-05-09 12:24:18
"19",2,"doi:10.7281/T1/8VU7A2/984",2023-05-09 12:24:18
"20",3,"doi:10.7281/T1/9VJGPI/665",2023-09-05 16:08:55
"21",3,"doi:10.7281/T1/9VJGPI/666",2023-09-05 16:08:55
"22",3,"doi:10.7281/T1/9VJGPI/667",2023-09-05 16:08:55
"23",3,"doi:10.7281/T1/9VJGPI/668",2023-09-05 16:08:55
"24",3,"doi:10.7281/T1/9VJGPI/669",2023-09-05 16:08:55
"25",3,"doi:10.7281/T1/9VJGPI/670",2023-09-05 16:08:55
"26",3,"doi:10.7281/T1/9VJGPI/671",2023-09-05 16:08:55
"27",3,"doi:10.7281/T1/9VJGPI/672",2023-09-05 16:08:55
"28",3,"doi:10.7281/T1/9VJGPI/673",2023-09-05 16:08:55
"29",3,"doi:10.7281/T1/9VJGPI/674",2023-09-05 16:08:55
"30",4,"doi:10.7281/T1/YC5BS6/106",2023-10-18 17:06:58
"31",4,"doi:10.7281/T1/YC5BS6/107",2023-10-18 17:06:58
"32",5,"doi:10.7281/T1/IM9BZI/36",2024-04-22 18:43:06
"33",6,"doi:10.7281/T1/KOTDPY/8604",2024-08-30 14:03:32
"34",6,"doi:10.7281/T1/KOTDPY/8605",2024-08-30 14:03:32
"35",6,"doi:10.7281/T1/KOTDPY/8606",2024-08-30 14:03:32
"36",6,"doi:10.7281/T1/KOTDPY/8607",2024-08-30 14:03:32
"37",6,"doi:10.7281/T1/KOTDPY/8608",2024-08-30 14:03:32
"38",6,"doi:10.7281/T1/KOTDPY/8609",2024-08-30 14:03:32
"39",6,"doi:10.7281/T1/KOTDPY/8610",2024-08-30 14:03:32
"40",6,"doi:10.7281/T1/KOTDPY/8611",2024-08-30 14:03:32
"41",6,"doi:10.7281/T1/KOTDPY/8612",2024-08-30 14:03:32
"42",6,"doi:10.7281/T1/KOTDPY/8613",2024-08-30 14:03:32
"43",6,"doi:10.7281/T1/KOTDPY/8614",2024-08-30 14:03:32
"44",6,"doi:10.7281/T1/KOTDPY/8615",2024-08-30 14:03:32
"45",6,"doi:10.7281/T1/KOTDPY/8616",2024-08-30 14:03:32
"46",6,"doi:10.7281/T1/KOTDPY/8617",2024-08-30 14:03:32
"47",6,"doi:10.7281/T1/KOTDPY/8618",2024-08-30 14:03:32
"48",6,"doi:10.7281/T1/KOTDPY/8619",2024-08-30 14:03:32
"49",6,"doi:10.7281/T1/KOTDPY/8620",2024-08-30 14:03:32
"50",6,"doi:10.7281/T1/KOTDPY/8621",2024-08-30 14:03:32
"51",6,"doi:10.7281/T1/KOTDPY/8622",2024-08-30 14:03:32
"52",6,"doi:10.7281/T1/KOTDPY/8623",2024-08-30 14:03:32
"53",6,"doi:10.7281/T1/KOTDPY/8624",2024-08-30 14:03:32
"54",6,"doi:10.7281/T1/KOTDPY/8625",2024-08-30 14:03:32
"55",6,"doi:10.7281/T1/KOTDPY/8626",2024-08-30 14:03:32
"56",6,"doi:10.7281/T1/KOTDPY/8627",2024-08-30 14:03:32
"57",6,"doi:10.7281/T1/KOTDPY/8628",2024-08-30 14:03:32
"58",6,"doi:10.7281/T1/KOTDPY/8629",2024-08-30 14:03:32
"59",6,"doi:10.7281/T1/KOTDPY/8630",2024-08-30 14:03:32
"60",6,"doi:10.7281/T1/KOTDPY/8631",2024-08-30 14:03:32
"61",6,"doi:10.7281/T1/KOTDPY/8632",2024-08-30 14:03:32
"62",6,"doi:10.7281/T1/KOTDPY/8633",2024-08-30 14:03:32
"63",6,"doi:10.7281/T1/KOTDPY/8634",2024-08-30 14:03:32
"64",6,"doi:10.7281/T1/KOTDPY/8635",2024-08-30 14:03:32
